profile,scenario_id,objective_ry_offset,a_true,rep,budget,algorithm,estimate,abs_error,normalized_abs_error,k_max_budget,time_to_budget_seconds
realistic,1,0.3,0.3602728053304129,3,128,BIQAE,0.38770159213395317,0.027428786803540273,0.07613338114261725,1,0.012877642241274488
realistic,1,0.3,0.3602728053304129,3,128,BAE,0.44292594215523706,0.08265313682482417,0.22941819532845795,1,0.32503045153526294
realistic,1,0.3,0.3602728053304129,3,253,CABIQAE_latentt,0.38813821009667054,0.02786540476625765,0.07734529044095285,1,0.031439338610750225
realistic,1,0.3,0.3602728053304129,3,253,BIQAE,0.38770159213395317,0.027428786803540273,0.07613338114261725,1,0.025453464742519104
realistic,1,0.3,0.3602728053304129,3,253,BAE,0.44292594215523706,0.08265313682482417,0.22941819532845795,1,0.6424430018626681
realistic,1,0.3,0.3602728053304129,3,499,CABIQAE_latentt,0.38813821009667054,0.02786540476625765,0.07734529044095285,1,0.06200881409788285
realistic,1,0.3,0.3602728053304129,3,499,BIQAE,0.38770159213395317,0.027428786803540273,0.07613338114261725,1,0.05020268342496852
realistic,1,0.3,0.3602728053304129,3,499,BAE,0.44292594215523706,0.08265313682482417,0.22941819532845795,1,1.2671109009070016
realistic,1,0.3,0.3602728053304129,3,986,CABIQAE_latentt,0.3548700257555468,0.005402779574866068,0.014996356913231567,3,0.12252643426956411
realistic,1,0.3,0.3602728053304129,3,986,BIQAE,0.4115908724098823,0.0513180670794694,0.14244224465514305,3,0.09919808788981754
realistic,1,0.3,0.3602728053304129,3,986,BAE,0.3532518089075322,0.0070209964228806765,0.01948799997946442,5,2.503750196982572
realistic,1,0.3,0.3602728053304129,3,1947,CABIQAE_latentt,0.36671308866060537,0.0064402833301924756,0.017876129518812758,9,0.24194621452620824
realistic,1,0.3,0.3602728053304129,3,1947,BIQAE,0.4115908724098823,0.0513180670794694,0.14244224465514305,3,0.19588101127938617
realistic,1,0.3,0.3602728053304129,3,1947,BAE,0.3532518089075322,0.0070209964228806765,0.01948799997946442,5,4.944017883899664
realistic,1,0.3,0.3602728053304129,3,3846,CABIQAE_latentt,0.37185750673103113,0.011584701400618236,0.03215535902021162,9,0.4779276533476101
realistic,1,0.3,0.3602728053304129,3,3846,BIQAE,0.4020621865841926,0.041789381253779734,0.1159937154164437,17,0.3869329067182944
realistic,1,0.3,0.3602728053304129,3,3846,BAE,0.3601269509565097,0.000145854373903187,0.00040484425064895267,11,9.766149348473604
realistic,1,0.3,0.3602728053304129,3,7595,CABIQAE_latentt,0.3691768032090167,0.008903997878603798,0.024714598900790682,9,0.9438014891250907
realistic,1,0.3,0.3602728053304129,3,7595,BIQAE,0.4020621865841926,0.041789381253779734,0.1159937154164437,17,0.7641069751756229
realistic,1,0.3,0.3602728053304129,3,7595,BAE,0.3603081030849262,3.529775451333039e-05,9.797507330856729e-05,11,19.285986557893143
realistic,1,0.3,0.3602728053304129,4,128,CABIQAE_latentt,0.3801485686790923,0.01987576334867941,0.05516864735447067,1,0.015482502127502193
realistic,1,0.3,0.3602728053304129,4,128,BIQAE,0.4251347216280199,0.06486191629760701,0.18003556010318608,1,0.01303788421169054
realistic,1,0.3,0.3602728053304129,4,128,BAE,0.42937240510330604,0.06909959977289315,0.19179798960823763,1,0.33409594153601135
realistic,1,0.3,0.3602728053304129,4,253,CABIQAE_latentt,0.3801485686790923,0.01987576334867941,0.05516864735447067,1,0.030602133111391056
realistic,1,0.3,0.3602728053304129,4,253,BIQAE,0.4251347216280199,0.06486191629760701,0.18003556010318608,1,0.025770193012169585
realistic,1,0.3,0.3602728053304129,4,253,BAE,0.42937240510330604,0.06909959977289315,0.19179798960823763,1,0.6603615094422725
realistic,1,0.3,0.3602728053304129,4,499,CABIQAE_latentt,0.3801485686790923,0.01987576334867941,0.05516864735447067,1,0.06035756688768432
realistic,1,0.3,0.3602728053304129,4,499,BIQAE,0.4251347216280199,0.06486191629760701,0.18003556010318608,1,0.050827376731512344
realistic,1,0.3,0.3602728053304129,4,499,BAE,0.42937240510330604,0.06909959977289315,0.19179798960823763,1,1.3024521470817942
realistic,1,0.3,0.3602728053304129,4,986,CABIQAE_latentt,0.3620235524000191,0.0017507470696062066,0.0048595038085113415,3,0.11926364920091533
realistic,1,0.3,0.3602728053304129,4,986,BIQAE,0.40425710143521576,0.04398429610480287,0.12208608436172153,3,0.10043245181817871
realistic,1,0.3,0.3602728053304129,4,986,BAE,0.3486789601589367,0.011593845171476214,0.03218073915083122,5,2.5735827996445875
realistic,1,0.3,0.3602728053304129,4,1947,CABIQAE_latentt,0.37710006285452313,0.01682725752411024,0.04670698780241725,11,0.23550337220505288
realistic,1,0.3,0.3602728053304129,4,1947,BIQAE,0.40425710143521576,0.04398429610480287,0.12208608436172153,3,0.19831844187626158
realistic,1,0.3,0.3602728053304129,4,1947,BAE,0.3542471146036339,0.006025690726778998,0.01672535544627834,9,5.081912485707923
realistic,1,0.3,0.3602728053304129,4,3846,CABIQAE_latentt,0.36630164381146446,0.006028838481051568,0.016734092587205988,11,0.4652008061122925
realistic,1,0.3,0.3602728053304129,4,3846,BIQAE,0.3996243357439159,0.03935153041350303,0.10922703526682513,17,0.39174767717313924
realistic,1,0.3,0.3602728053304129,4,3846,BAE,0.36295647235154727,0.0026836670211343727,0.007448985828039759,11,10.038538993339841
realistic,1,0.3,0.3602728053304129,4,7595,CABIQAE_latentt,0.3610454386202129,0.0007726332897999844,0.0021445784371412323,11,0.9186687785810872
realistic,1,0.3,0.3602728053304129,4,7595,BIQAE,0.3996243357439159,0.03935153041350303,0.10922703526682513,17,0.7736150827171068
realistic,1,0.3,0.3602728053304129,4,7595,BAE,0.35664895962181686,0.0036238457085960296,0.010058615735019281,11,19.823895905984426
