run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,budget,query_budget_actual,estimate,a_true,abs_error,normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,grover_power,grover_power_exceeds_calibration,k_max_budget,amplification_factor,t_eff,calibration_status,runtime_wall_seconds,time_to_budget_seconds,n_shots,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,normalized_sq_error
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,3,CABIQAE,cabiqae_latentt,2048,1280.0,0.1165041768640587,0.1328730942948926,0.016368917430833907,0.12319211438325853,0.5864946085782612,0.5142430976731236,0.0722515109051376,0.12319211438325854,0.5864946085782612,0.5142430976731236,0.0722515109051376,0.12319211438325854,1,False,1,3,6.2225929620762646,ok,2.6824931304334947,2.6824931304334947,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.015176297046217853
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,3,CABIQAE,cabiqae_latentt,4096,3968.0,0.10860867079747571,0.1328730942948926,0.024264423497416893,0.1826135202629173,0.5864946085782612,0.4793927634905631,0.1071018450876981,0.18261352026291738,0.5864946085782612,0.4793927634905631,0.1071018450876981,0.18261352026291738,3,False,3,7,6.2225929620762646,ok,8.315728704343833,8.315728704343833,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.033347697782814906
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,3,CABIQAE,cabiqae_latentt,8192,7552.0,0.1074882285477011,0.1328730942948926,0.02538486574719151,0.19104594411607118,0.5864946085782612,0.4744471923634416,0.11204741621481956,0.19104594411607123,0.5864946085782612,0.4744471923634416,0.11204741621481956,0.19104594411607123,3,False,3,7,6.2225929620762646,ok,15.826709469557619,15.826709469557619,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.03649855276320099
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,3,BIQAE,biqae,1024,512.0,0.07530417859422714,0.1328730942948926,0.05756891570066547,0.4332623997820024,0.5864946085782612,0.33238854700643755,0.25410606157182364,0.4332623997820024,0.5864946085782612,0.33238854700643755,0.25410606157182364,0.4332623997820024,1,False,1,3,6.2225929620762646,ok,2.1319273894799773,2.1319273894799773,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.1877163070648597
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,3,BIQAE,biqae,2048,512.0,0.07530417859422714,0.1328730942948926,0.05756891570066547,0.4332623997820024,0.5864946085782612,0.33238854700643755,0.25410606157182364,0.4332623997820024,0.5864946085782612,0.33238854700643755,0.25410606157182364,0.4332623997820024,1,False,1,3,6.2225929620762646,ok,2.1319273894799773,2.1319273894799773,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.1877163070648597
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,4,CABIQAE,cabiqae_latentt,1024,896.0,0.12077669201940526,0.1328730942948926,0.012096402275487347,0.09103725881961575,0.5864946085782612,0.5331017471008128,0.05339286147744837,0.0910372588196157,0.5864946085782612,0.5331017471008128,0.05339286147744837,0.0910372588196157,1,False,1,3,6.2225929620762646,ok,1.9425091277904962,1.9425091277904962,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.008287782493389705
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,4,CABIQAE,cabiqae_latentt,2048,1792.0,0.11119642181471157,0.1328730942948926,0.021676672480181042,0.16313816273498383,0.5864946085782612,0.49081495568083017,0.09567965289743102,0.16313816273498383,0.5864946085782612,0.49081495568083017,0.09567965289743102,0.16313816273498383,3,False,3,7,6.2225929620762646,ok,3.8850182555809925,3.8850182555809925,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.026614060140546066
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,4,CABIQAE,cabiqae_latentt,4096,3584.0,0.11098256830718982,0.1328730942948926,0.02189052598770279,0.16474761955283387,0.5864946085782612,0.48987101793442156,0.09662359064383963,0.16474761955283393,0.5864946085782612,0.48987101793442156,0.09662359064383963,0.16474761955283393,3,False,3,7,6.2225929620762646,ok,7.770036511161985,7.770036511161985,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.02714177814832529
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,4,CABIQAE,cabiqae_latentt,8192,8064.0,0.10763792132715903,0.1328730942948926,0.025235172967733574,0.18991935953359948,0.5864946085782612,0.4751079281471687,0.11138668043109251,0.18991935953359954,0.5864946085782612,0.4751079281471687,0.11138668043109251,0.18991935953359954,3,False,3,7,6.2225929620762646,ok,17.482582150114467,17.482582150114467,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.03606936312565262
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,4,BIQAE,biqae,1024,768.0,0.2089623985234461,0.1328730942948926,0.0760893042285535,0.572646438561025,0.5864946085782612,0.9223486574158448,0.33585404883758363,0.5726464385610249,0.5864946085782612,0.9223486574158448,0.33585404883758363,0.5726464385610249,2,False,2,5,6.2225929620762646,ok,3.639810793559938,3.639810793559938,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.3279239435966258
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,4,BIQAE,biqae,2048,768.0,0.2089623985234461,0.1328730942948926,0.0760893042285535,0.572646438561025,0.5864946085782612,0.9223486574158448,0.33585404883758363,0.5726464385610249,0.5864946085782612,0.9223486574158448,0.33585404883758363,0.5726464385610249,2,False,2,5,6.2225929620762646,ok,3.639810793559938,3.639810793559938,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.3279239435966258
