run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,final_queries,final_estimate,a_true,final_abs_error,final_normalized_abs_error,min_abs_error,min_normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,min_processed_abs_error,min_processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,ci_low,ci_high,processed_ci_low,processed_ci_high,cva_ci_low,cva_ci_high,coverage,k_max,k_max_exceeds_calibration,amplification_factor_max,t_eff,calibration_status,runtime_wall_seconds,circuit_prepare_wall_seconds,construct_circuit_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,n_shots,max_queries_requested,max_queries_reached,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,construct_circuit_mode
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,5,CABIQAE,cabiqae_latentt,6144.0,0.12491889609640003,0.1328730942948926,0.00795419819849258,0.05986312158004981,0.0017694071555906798,0.013316519533019504,0.5864946085782612,0.551385210518897,0.035109398059364194,0.05986312158004985,0.007810066911143054,0.013316519533019523,0.5864946085782612,0.551385210518897,0.035109398059364194,0.05986312158004985,0.12044495985066393,0.12939283234213614,0.5316374993575717,0.5711329216802224,0.5316374993575717,0.5711329216802224,0.0,3,False,7,6.2225929620762646,ok,11.763248800009023,5.360000068321824e-05,5.360000068321824e-05,18,0,7,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,5,BIQAE,biqae,3968.0,0.21906479416649244,0.1328730942948926,0.08619169987159983,0.6486768470997584,0.06731118338018124,0.5065824931478891,0.5864946085782612,0.9669400821118145,0.3804454735335533,0.6486768470997583,0.29710790103137075,0.5065824931478888,0.5864946085782612,0.9669400821118145,0.3804454735335533,0.6486768470997583,0.21517679793057803,0.22295279040240684,0.949778678272783,0.984101485950846,0.949778678272783,0.984101485950846,0.0,12,False,25,6.2225929620762646,ok,18.40080600004876,9.699957445263863e-06,9.699957445263863e-06,3,0,7,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,6,CABIQAE,cabiqae_latentt,4992.0,0.12231820444734337,0.1328730942948926,0.010554889847549237,0.0794358700198867,0.0035223763463015922,0.02650932730206604,0.5864946085782612,0.5399058990838741,0.04658870949438709,0.07943587001988672,0.015547577539698265,0.02650932730206609,0.5864946085782612,0.5399058990838741,0.04658870949438709,0.07943587001988672,0.11770437140689156,0.1269320374877952,0.5195406910824732,0.5602711070852749,0.5195406910824732,0.5602711070852749,0.0,3,False,7,6.2225929620762646,ok,10.374317000096198,3.919989103451371e-05,3.919989103451371e-05,15,0,7,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,6,BIQAE,biqae,2176.0,0.07761998669985715,0.1328730942948926,0.05525310759503546,0.4158336786558849,0.022320624660886024,0.167984532755357,0.5864946085782612,0.34261039798131954,0.24388421059694165,0.4158336786558849,0.09852202278555511,0.16798453275535685,0.5864946085782612,0.34261039798131954,0.24388421059694165,0.4158336786558849,0.07280152921640147,0.08243844418331282,0.32134198882213766,0.3638788071405014,0.32134198882213766,0.3638788071405014,0.0,6,False,13,6.2225929620762646,ok,9.377710399916396,9.600073099136353e-06,9.600073099136353e-06,3,0,7,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,7,CABIQAE,cabiqae_latentt,17024.0,0.10631662952589058,0.1328730942948926,0.02655646476900203,0.19986337271610308,0.005141070599673975,0.038691584831042715,0.5864946085782612,0.46927581802799917,0.11721879055026202,0.1998633727161031,0.022692405900755053,0.03869158483104283,0.5864946085782612,0.46927581802799917,0.11721879055026202,0.1998633727161031,0.10151233545193297,0.11112092359984818,0.4480699253877091,0.49048171066828916,0.4480699253877091,0.49048171066828916,0.0,3,False,7,6.2225929620762646,ok,34.68332029983867,6.720016244798899e-05,6.720016244798899e-05,21,0,7,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,7,BIQAE,biqae,4096.0,0.21673308339017122,0.1328730942948926,0.08385998909527861,0.6311284428220171,0.030432158730193615,0.229031760656178,0.5864946085782612,0.9566480376137676,0.3701534290355064,0.6311284428220171,0.1343258928180351,0.22903176065617795,0.5864946085782612,0.9566480376137676,0.3701534290355064,0.6311284428220171,0.2128456526768538,0.22062051410348868,0.9394891299607089,0.9738069452668263,0.9394891299607089,0.9738069452668263,0.0,12,False,25,6.2225929620762646,ok,18.590730800002348,1.209997572004795e-05,1.209997572004795e-05,4,0,7,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,8,CABIQAE,cabiqae_latentt,9856.0,0.10755027846358696,0.1328730942948926,0.025322815831305648,0.19057895780695316,0.002042645339591337,0.015372904126534309,0.5864946085782612,0.4747210773160192,0.11177353126224199,0.19057895780695322,0.009016125388402907,0.015372904126534363,0.5864946085782612,0.4747210773160192,0.11177353126224199,0.19057895780695322,0.10272776907649946,0.11237278785067446,0.45343478327467096,0.49600737135736744,0.45343478327467096,0.49600737135736744,0.0,3,False,7,6.2225929620762646,ok,21.02723149996018,4.190002800896764e-05,4.190002800896764e-05,13,0,7,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,8,BIQAE,biqae,4864.0,0.22437882547022575,0.1328730942948926,0.09150573117533314,0.6886701304046507,0.038085056534411715,0.2866273020622779,0.5864946085782612,0.9903959271494769,0.4039013185712157,0.6886701304046506,0.16810536733085868,0.2866273020622778,0.5864946085782612,0.9903959271494769,0.4039013185712157,0.6886701304046506,0.221185556114503,0.22757209482594853,0.9763010099594468,1.004490844339507,0.9763010099594468,1.004490844339507,0.0,15,True,31,6.2225929620762646,ok,22.401055700029247,3.08928889996605,3.08928889996605,3,1,8,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,9,CABIQAE,cabiqae_latentt,10752.0,0.10527791913001433,0.1328730942948926,0.027595175164878277,0.20768068442535687,0.01765586320874532,0.13287764014557144,0.5864946085782612,0.4646910068569461,0.1218036017213151,0.20768068442535695,0.07793201954597995,0.1328776401455714,0.5864946085782612,0.4646910068569461,0.1218036017213151,0.20768068442535695,0.1005955755738935,0.10996026268613517,0.44402339716704675,0.4853586165468455,0.44402339716704675,0.4853586165468455,0.0,3,False,7,6.2225929620762646,ok,23.336505499959458,4.340003943070769e-05,4.340003943070769e-05,14,0,8,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,9,BIQAE,biqae,2944.0,0.09229452683024494,0.1328730942948926,0.040578567464647664,0.30539341075770693,0.007685383007341173,0.05784002433393007,0.5864946085782612,0.4073830196735397,0.1791115889047215,0.305393410757707,0.03392286243188547,0.05784002433393016,0.5864946085782612,0.4073830196735397,0.1791115889047215,0.305393410757707,0.08868226753666862,0.09590678612382125,0.3914387036951117,0.4233273356519677,0.3914387036951117,0.4233273356519677,0.0,9,False,19,6.2225929620762646,ok,12.563811899977736,1.8762968000373803,1.8762968000373803,2,1,9,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
