rep,T_noise,a_true,algorithm,final_queries,final_estimate,final_abs_error,final_nrmse,final_coverage,runtime_seconds,k_max
2,200.0,0.8,CABIQAE_latentt,787840,0.7995126190860831,0.00048738091391697935,0.0006092261423962242,0.0,18.317939200002,73
3,200.0,0.8,BAE,26580,0.8008610706251136,0.0008610706251135358,0.0010763382813919198,0.0,0.8346305000013672,97
3,200.0,0.8,BIQAE,262000,0.8000106828172348,1.068281723470843e-05,1.3353521543385538e-05,1.0,0.32918339999741875,4585
3,200.0,0.8,CABIQAE_latentt,979960,0.800615539101546,0.0006155391015459921,0.0007694238769324901,0.0,8.72113220000756,181
4,200.0,0.8,BAE,27660,0.8009578867099815,0.0009578867099814259,0.0011973583874767824,1.0,0.9470536999870092,175
4,200.0,0.8,BIQAE,372320,0.7999916555664084,8.344433591656042e-06,1.0430541989570052e-05,1.0,0.46193220000714064,6509
4,200.0,0.8,CABIQAE_latentt,935440,0.7999973158757967,2.684124203344851e-06,3.3551552541810636e-06,1.0,19.75081970001338,83
1,inf,0.05,BAE,28220,0.04993862625123044,6.13737487695637e-05,0.001227474975391274,1.0,0.6569140999927185,199
1,inf,0.05,BIQAE,137600,0.04999909101927684,9.089807231632552e-07,1.8179614463265104e-05,1.0,0.23169239997514524,2357
1,inf,0.05,CABIQAE_latentt,257960,0.04999857127498841,1.4287250115901928e-06,2.8574500231803857e-05,1.0,0.25096529998700134,4463
2,inf,0.05,BAE,27100,0.049993461253549164,6.538746450839017e-06,0.00013077492901678034,1.0,0.6430234000144992,197
2,inf,0.05,BIQAE,126360,0.050012703518610396,1.2703518610393538e-05,0.00025407037220787076,1.0,0.21359560001292266,1995
2,inf,0.05,CABIQAE_latentt,143560,0.050010942291081356,1.0942291081353361e-05,0.00021884582162706723,1.0,0.1496733999811113,2441
3,inf,0.05,BAE,28260,0.0499233040862975,7.669591370250417e-05,0.0015339182740500834,1.0,0.7572307999944314,193
3,inf,0.05,BIQAE,132040,0.049998710527497714,1.2894725022888354e-06,2.5789450045776707e-05,1.0,0.21642179999616928,2149
3,inf,0.05,CABIQAE_latentt,201840,0.050005260132785556,5.260132785553373e-06,0.00010520265571106746,1.0,0.19758020000881515,3507
4,inf,0.05,BAE,30100,0.04986790939207109,0.00013209060792890998,0.0026418121585781995,1.0,0.7043779000232462,199
4,inf,0.05,BIQAE,156160,0.04999393094840926,6.069051590743002e-06,0.00012138103181486004,1.0,0.2719284000049811,2687
4,inf,0.05,CABIQAE_latentt,195280,0.04999532753248957,4.672467510430378e-06,9.344935020860756e-05,1.0,0.18889799999305978,3369
1,inf,0.2,BAE,31660,0.1999765055377109,2.3494462289108675e-05,0.00011747231144554338,1.0,1.0016369000077248,199
1,inf,0.2,BIQAE,232040,0.20000738349730346,7.383497303448117e-06,3.691748651724058e-05,1.0,0.31874239997705445,3593
1,inf,0.2,CABIQAE_latentt,295240,0.2000042870082484,4.2870082483936756e-06,2.1435041241968378e-05,1.0,0.3541286000108812,5141
2,inf,0.2,BAE,29860,0.19991881066870287,8.11893312971379e-05,0.0004059466564856895,1.0,0.7439621999801602,201
2,inf,0.2,BIQAE,291240,0.20000655058550665,6.55058550663723e-06,3.275292753318615e-05,1.0,0.3581675000023097,4867
2,inf,0.2,CABIQAE_latentt,220400,0.20000356345896325,3.5634589632405067e-06,1.7817294816202534e-05,1.0,0.2222536999906879,3589
3,inf,0.2,BAE,28700,0.19999574046296215,4.25953703786508e-06,2.12976851893254e-05,1.0,0.7281952000048477,201
3,inf,0.2,BIQAE,603320,0.19999426872101855,5.731278981457866e-06,2.865639490728933e-05,1.0,0.7091123000136577,10135
3,inf,0.2,CABIQAE_latentt,329560,0.20000717286854125,7.172868541238664e-06,3.586434270619332e-05,1.0,0.3260115000011865,5527
4,inf,0.2,BAE,27820,0.20021981065923225,0.00021981065923223908,0.0010990532961611954,1.0,0.6793969999998808,199
4,inf,0.2,BIQAE,494120,0.19999547483297506,4.525167024954646e-06,2.262583512477323e-05,1.0,0.563667299982626,8251
4,inf,0.2,CABIQAE_latentt,216160,0.1999830168486203,1.6983151379712513e-05,8.491575689856257e-05,1.0,0.2679490000009537,3501
1,inf,0.8,BAE,26700,0.7997003239298814,0.0002996760701186041,0.0003745950876482551,1.0,0.6479586999921594,201
1,inf,0.8,BIQAE,304680,0.800009858251818,9.858251817984609e-06,1.2322814772480761e-05,1.0,0.36613939999369904,4931
