rep,T_noise,a_true,budget,algorithm,estimate,abs_error,nrmse,common_budget_ceiling
2,5.0,0.2,200,BIQAE,0.2350947817208109,0.0350947817208109,0.1754739086040545,25300
2,5.0,0.2,200,CABIQAE_latentt,0.145284762567595,0.054715237432405,0.273576187162025,25300
2,5.0,0.2,400,BAE,0.2212087954047103,0.021208795404710296,0.10604397702355148,25300
2,5.0,0.2,400,BIQAE,0.1991828971590212,0.0008171028409788006,0.004085514204894003,25300
2,5.0,0.2,400,CABIQAE_latentt,0.16606527997870082,0.033934720021299186,0.16967360010649593,25300
2,5.0,0.2,800,BAE,0.21286258828103796,0.012862588281037951,0.06431294140518976,25300
2,5.0,0.2,800,BIQAE,0.1991828971590212,0.0008171028409788006,0.004085514204894003,25300
2,5.0,0.2,800,CABIQAE_latentt,0.19501102448919047,0.00498897551080954,0.0249448775540477,25300
2,5.0,0.2,1600,BAE,0.2120802699750034,0.012080269975003388,0.06040134987501694,25300
2,5.0,0.2,1600,BIQAE,0.1945526644162531,0.0054473355837469095,0.027236677918734548,25300
2,5.0,0.2,1600,CABIQAE_latentt,0.20259349980326335,0.002593499803263344,0.01296749901631672,25300
2,5.0,0.2,3200,BAE,0.20572213755374263,0.005722137553742623,0.028610687768713117,25300
2,5.0,0.2,3200,BIQAE,0.19764153422980507,0.0023584657701949396,0.011792328850974698,25300
2,5.0,0.2,3200,CABIQAE_latentt,0.21649671886307087,0.01649671886307086,0.08248359431535429,25300
2,5.0,0.2,6400,BAE,0.20662918469746305,0.006629184697463042,0.03314592348731521,25300
2,5.0,0.2,6400,BIQAE,0.19764153422980507,0.0023584657701949396,0.011792328850974698,25300
2,5.0,0.2,6400,CABIQAE_latentt,0.22347721778644825,0.023477217786448235,0.11738608893224117,25300
2,5.0,0.2,12800,BAE,0.205408666116187,0.005408666116186983,0.027043330580934916,25300
2,5.0,0.2,12800,BIQAE,0.19931461294354758,0.0006853870564524356,0.003426935282262178,25300
2,5.0,0.2,12800,CABIQAE_latentt,0.22815616558075305,0.02815616558075304,0.1407808279037652,25300
3,5.0,0.2,200,BAE,0.3468407990361527,0.1468407990361527,0.7342039951807635,25580
3,5.0,0.2,200,BIQAE,0.24766720725113295,0.04766720725113294,0.23833603625566468,25580
3,5.0,0.2,200,CABIQAE_latentt,0.2524494809780717,0.05244948097807167,0.26224740489035836,25580
3,5.0,0.2,400,BAE,0.3468407990361527,0.1468407990361527,0.7342039951807635,25580
3,5.0,0.2,400,BIQAE,0.21545873814288274,0.015458738142882733,0.07729369071441367,25580
3,5.0,0.2,400,CABIQAE_latentt,0.23183142668566487,0.031831426685664854,0.15915713342832427,25580
3,5.0,0.2,800,BAE,0.19903304546149242,0.0009669545385075917,0.004834772692537959,25580
3,5.0,0.2,800,BIQAE,0.21545873814288274,0.015458738142882733,0.07729369071441367,25580
3,5.0,0.2,800,CABIQAE_latentt,0.22626787719865776,0.026267877198657752,0.13133938599328876,25580
3,5.0,0.2,1600,BAE,0.19554308787316416,0.004456912126835855,0.022284560634179273,25580
3,5.0,0.2,1600,BIQAE,0.20238227153490573,0.002382271534905722,0.011911357674528611,25580
3,5.0,0.2,1600,CABIQAE_latentt,0.20935111989672328,0.00935111989672327,0.04675559948361635,25580
3,5.0,0.2,3200,BAE,0.2070655377770048,0.007065537777004777,0.035327688885023883,25580
3,5.0,0.2,3200,BIQAE,0.20066838480732724,0.0006683848073272269,0.0033419240366361347,25580
