algorithm,algorithm_key,budget,target_name,abs_error_mean,abs_error_median,amplification_factor_median,cva_abs_error_median,cva_relative_error_median,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,query_budget_actual_median,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,total_repetitions
CABIQAE,cabiqae_latentt,32768,cva,0.0004691895732315,7.816245288486123e-05,854.0,0.0003450048142062,0.0005882489099815,0.133186295412225,426.5,0.0009686078162167,0.0001757752419676,300,300,0.00719078657816,0.0013815249157041,0.0035311104608604,0.0005882489099816,0.0006594761204994,0.0004972415311829,0.0015984859766241,0.0276865892669935,0.0003450048142062,0.0003900869101585,0.0002960100840328,0.000937503407178,0.0005882489099815,0.0006603304831551,0.0005051264314628,0.0015984859766241,26565.866666666665,26530.0,0.0011435715271986,0.0010883847737163,0.0011173180345994,0.0011075784450957,0.0011519480230292,0.0010640223719498,1.4393150713145376e-05,1.0,300
CABIQAE,cabiqae_latentt,65536,cva,0.0004267960890462,3.015175065712583e-05,1711.0,0.0001330881868405,0.0002269214156344,0.1331787998584875,855.0,0.0008996962922695,0.0001336533393895,300,300,0.0065517204531522,0.0010373870505275,0.0032120580265783,0.0002269214156344,0.0002561833503001,0.0001994542851293,0.0015985242511399,0.0276872522010536,0.0001330881868405,0.0001504263941597,0.0001169617711463,0.0009375258549751,0.0002269214156344,0.0002564838482051,0.0001994537733726,0.0015985242511399,53716.36666666667,53985.0,0.0023249036154517,0.0022039991742397,0.0022613447507046,0.002200618889078,0.0022857701816348,0.0021296610587017,2.968245486335079e-05,1.0,300
Classical MC,classical_mc,64,cva,0.0355248729529928,0.0390019057051073,1.0,0.172152289684447,0.2935274888575131,0.13125,0.0,0.0381795676994239,0.0329162223085041,300,300,0.2885293461212152,0.2478084744023659,0.2673594164530445,0.2935274888575132,0.2935274888575132,0.1768461434543097,0.0106407965717049,0.1843040029519773,0.172152289684447,0.172152289684447,0.1037193096838104,0.006240769820283,0.2935274888575131,0.2935274888575131,0.1768461434543098,0.0106407965717049,64.0,64.0,3.2296750772123536e-06,2.994667146898185e-06,3.090332417438428e-06,2.900022082030773e-06,2.9999646358191967e-06,2.900022082030773e-06,6.095318489520544e-08,1.0,300
Classical MC,classical_mc,128,cva,0.0246984069730806,0.0233769057051073,1.0,0.1031843898423827,0.1759340807795575,0.1308333333333333,0.0,0.0268572496526844,0.0227191898111682,300,300,0.202732784817014,0.1707914805709197,0.1858796704038978,0.1759340807795574,0.1768461434543097,0.1180494394153319,0.0080342849965291,0.1391578981647686,0.1031843898423827,0.1037193096838104,0.0692353597627782,0.0047120648342455,0.1759340807795575,0.1768461434543098,0.1180494394153319,0.0080342849965291,128.0,128.0,1.2843058638585113e-05,1.175297247148895e-05,1.222166446192811e-05,1.1499971151351929e-05,1.1500029359012842e-05,1.1400028597563503e-05,2.818829809627501e-07,1.0,300
Classical MC,classical_mc,256,cva,0.0169738211106863,0.0155644057051073,1.0,0.0687004399213505,0.1171373767405796,0.1333723958333333,0.0,0.0185609613607819,0.015454706003722,300,300,0.1382196234409978,0.1167645674726398,0.1277446062407146,0.1171373767405796,0.1180494394153319,0.0886510873958429,0.0057077587830721,0.0988612820962852,0.0687004399213505,0.0692353597627782,0.0519933848022621,0.003347569753337,0.1171373767405796,0.1180494394153319,0.0886510873958429,0.0057077587830721,256.0,256.0,2.299100702415065e-05,1.910280905334124e-05,2.0631332493697603e-05,1.8099963199347258e-05,1.8199963960796595e-05,1.8000020645558834e-05,9.964152673749568e-07,1.0,300
Classical MC,classical_mc,512,cva,0.0114098856576935,0.0097050307051073,1.0,0.0428374774805763,0.073039848711346,0.133203125,0.0,0.0123854149525563,0.0104292062156751,300,300,0.0936402027782506,0.0786094966682006,0.0858705497771502,0.0730398487113462,0.0739519113860985,0.059252735376354,0.00375266355582,0.0649980394239234,0.0428374774805763,0.0433723973220041,0.034751409841746,0.0022009169432965,0.073039848711346,0.0739519113860985,0.059252735376354,0.00375266355582,512.0,512.0,3.0089496387518007e-05,2.6038300740765408e-05,2.766366524156183e-05,2.440001117065549e-05,2.4500011932104823e-05,2.4399952962994576e-05,1.0575752134281214e-06,1.0,300
Classical MC,classical_mc,1024,cva,0.0080277241993602,0.0059199692948926,1.0,0.0261304223614879,0.0445535593666095,0.1323990885416666,0.0,0.0087544750544031,0.0073151683940441,300,300,0.0658594662862591,0.0549218633774707,0.0604164766536094,0.0445535593666095,0.0519031473714817,0.0372039713617373,0.0028359359909331,0.0491198522330947,0.0261304223614879,0.030440916101617,0.0218199286213589,0.0016632611689553,0.0445535593666095,0.0551219100365417,0.0372039713617372,0.0028359359909331,1024.0,1024.0,3.7146373428792384e-05,3.283389821202339e-05,3.469666563129673e-05,3.0800001695752144e-05,3.090000245720148e-05,3.070000093430281e-05,1.1045615792738594e-06,1.0,300
Classical MC,classical_mc,2048,cva,0.0061673491242544,0.0053104994551073,1.0,0.0234402556499957,0.039966702689421,0.1326643880208333,0.0,0.0067147043391407,0.0056806621606738,300,300,0.0501826323730063,0.0425627475628841,0.0464153345489716,0.0399667026894211,0.0408787653641734,0.0335291773593012,0.0019707266783319,0.0341339873470234,0.0234402556499957,0.0239751754914234,0.0196646817512944,0.001155820571823,0.039966702689421,0.0408787653641734,0.0335291773593011,0.0019707266783319,2048.0,2048.0,4.402648249136594e-05,3.961625769443344e-05,4.153933298463623e-05,3.7100049667060375e-05,3.7299992982298136e-05,3.709999145939946e-05,1.1381720816413706e-06,1.0,300
Classical MC,classical_mc,4096,cva,0.0040340228052347,0.0033573744551073,1.0,0.0148192681697376,0.0252675266796765,0.1327701822916666,0.0,0.0043966003547776,0.0036775347045155,300,300,0.0329629044137939,0.0276491355755798,0.030359967355632,0.0252675266796766,0.0289423206821127,0.0225047953519928,0.0013577093809016,0.0235162162963448,0.0148192681697376,0.0169745150398021,0.0131922546430831,0.0007962892319149,0.0252675266796765,0.0289423206821126,0.0225047953519929,0.0013577093809016,4096.0,4096.0,5.150838226836641e-05,4.628395026278061e-05,4.842700009855131e-05,4.339998122304678e-05,4.349998198449612e-05,4.3199979700148106e-05,1.338681664521965e-06,1.0,300
Classical MC,classical_mc,8192,cva,0.0029565488469014,0.00238037109375,1.0,0.0105068284915645,0.0179146207618761,0.1328011067708333,0.0,0.0032214185737127,0.0027229431788442,300,300,0.0240117346049789,0.0204439710041581,0.0222509219235897,0.017914620761876,0.0206740341766315,0.016077223760658,0.0009363523410857,0.0162180982854665,0.0105068284915645,0.012125209582157,0.009427259118488,0.0005491655997764,0.0179146207618761,0.0206740341766313,0.0160805416735864,0.0009363523410857,8192.0,8192.0,5.8556888926735457e-05,5.3051564769702966e-05,5.536799862359961e-05,4.954999894835055e-05,4.9699971714289856e-05,4.9399968702346087e-05,1.401015074015323e-06,1.0,300
Classical MC,classical_mc,16384,cva,0.002089652055782,0.0017695786698926,1.0,0.0078108239659396,0.0133178103459026,0.1330055745442708,0.0,0.002291935544337,0.0019081826410413,300,300,0.0171339787072975,0.0143515899453378,0.0157266756439369,0.0133178103459025,0.0146958580968161,0.0110243820073083,0.0007204474852193,0.0124785164858519,0.0078108239659396,0.0086190415422138,0.0063310376808145,0.0004225385658449,0.0133178103459026,0.0144695013845922,0.0110210640943799,0.0007204474852193,16384.0,16384.0,6.582527371938341e-05,6.023638042097446e-05,6.26446654011185e-05,5.5899989092722535e-05,5.610001971945167e-05,5.570001667365432e-05,1.4499827535565903e-06,1.0,300
Classical MC,classical_mc,32768,cva,0.0015830720152098,0.0013279555097948,1.0,0.005861523366032,0.0099941641070514,0.1329056803385416,0.0,0.0017212193521368,0.0014491851095224,300,300,0.0129023494522206,0.0109197933239982,0.0119141653440876,0.0099941641070515,0.0117100879698367,0.008616116356138,0.0005223695388153,0.0090477058155455,0.005861523366032,0.0068024979336411,0.0051206572544474,0.0003063669182007,0.0099941641070514,0.0117100879698367,0.0089539924680096,0.0005223695388153,32768.0,32768.0,7.287144059470544e-05,6.718423459581875e-05,6.978799938224256e-05,6.234997999854386e-05,6.275001214817166e-05,6.200000643730164e-05,1.4879747238351985e-06,1.0,300
Classical MC,classical_mc,65536,cva,0.0010463245567727,0.0008930800215136,1.0,0.0039420066223808,0.0067213006986318,0.1329447937011718,0.0,0.0011437855734616,0.0009613399841179,300,300,0.0085642254381725,0.0072084290608808,0.0078746157175403,0.0067213006986318,0.0076974178555289,0.0056270283162303,0.0003459563229982,0.0059921392863261,0.0039420066223808,0.0045144940722418,0.0033021677078304,0.000202901518242,0.0067213006986318,0.0077515185988887,0.0056303462291585,0.0003459563229982,65536.0,65536.0,8.042900632911673e-05,7.453371725569013e-05,7.71789993935575e-05,6.945000495761633e-05,6.980000762268901e-05,6.910000229254365e-05,1.5355793446664783e-06,1.0,300
