run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,epsilon_target,budget,query_budget_actual,estimate,a_true,abs_error,normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,coverage,grover_power,grover_power_exceeds_calibration,k_max_budget,amplification_factor,t_eff,calibration_status,runtime_wall_seconds,time_to_budget_seconds,n_shots,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,normalized_sq_error
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,BIQAE,biqae,0.003,1024,640.0,0.12779142998679324,0.1328730942948926,0.005081664308099365,0.038244494380640724,0.5864946085782612,0.5640644188162137,0.02243018976204747,0.038244494380640856,0.5864946085782612,0.5640644188162137,0.02243018976204747,0.038244494380640856,1.0,1,False,1,3,88.1593891015884,ok,3.2164998539446152,3.2164998539446152,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.0014626413504308599
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,BIQAE,biqae,0.003,2048,640.0,0.12779142998679324,0.1328730942948926,0.005081664308099365,0.038244494380640724,0.5864946085782612,0.5640644188162137,0.02243018976204747,0.038244494380640856,0.5864946085782612,0.5640644188162137,0.02243018976204747,0.038244494380640856,1.0,1,False,1,3,88.1593891015884,ok,3.2164998539446152,3.2164998539446152,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.0014626413504308599
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,BIQAE,biqae,0.003,4096,2560.0,0.13277546621038577,0.1328730942948926,9.762808450683447e-05,0.0007347468276020054,0.5864946085782612,0.5860636835252026,0.0004309250530586395,0.0007347468276021455,0.5864946085782612,0.5860636835252026,0.0004309250530586395,0.0007347468276021455,1.0,7,False,7,15,88.1593891015884,ok,12.865999415778461,12.865999415778461,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,5.39852900671211e-07
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,BIQAE,biqae,0.003,8192,2560.0,0.13277546621038577,0.1328730942948926,9.762808450683447e-05,0.0007347468276020054,0.5864946085782612,0.5860636835252026,0.0004309250530586395,0.0007347468276021455,0.5864946085782612,0.5860636835252026,0.0004309250530586395,0.0007347468276021455,1.0,7,False,7,15,88.1593891015884,ok,12.865999415778461,12.865999415778461,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,5.39852900671211e-07
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,2,CABIQAE,cabiqae_latentt,0.003,1024,512.0,0.1286095326379297,0.1328730942948926,0.0042635616569629,0.03208747173073686,0.5864946085782612,0.5676754794052766,0.01881912917298456,0.0320874717307369,0.5864946085782612,0.5676754794052766,0.01881912917298456,0.0320874717307369,1.0,1,False,1,3,88.1593891015884,ok,2.85437900742033,2.85437900742033,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.0010296058420708372
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,2,CABIQAE,cabiqae_latentt,0.003,2048,512.0,0.1286095326379297,0.1328730942948926,0.0042635616569629,0.03208747173073686,0.5864946085782612,0.5676754794052766,0.01881912917298456,0.0320874717307369,0.5864946085782612,0.5676754794052766,0.01881912917298456,0.0320874717307369,1.0,1,False,1,3,88.1593891015884,ok,2.85437900742033,2.85437900742033,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.0010296058420708372
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,2,CABIQAE,cabiqae_latentt,0.003,4096,2432.0,0.1341163692003329,0.1328730942948926,0.0012432749054402947,0.009356859731745435,0.5864946085782612,0.5919823563641529,0.005487747785891672,0.009356859731745331,0.5864946085782612,0.5919823563641529,0.005487747785891672,0.009356859731745331,1.0,7,False,7,15,88.1593891015884,ok,13.558300285246569,13.558300285246569,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,8.755082403955926e-05
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,2,BIQAE,biqae,0.003,1024,512.0,0.12469932750898341,0.1328730942948926,0.008173766785909198,0.061515589964125504,0.5864946085782612,0.5504160467207906,0.036078561857470604,0.06151558996412551,0.5864946085782612,0.5504160467207906,0.036078561857470604,0.06151558996412551,0.0,1,False,1,3,88.1593891015884,ok,2.9260346279945226,2.9260346279945226,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.0037841678086344183
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,2,BIQAE,biqae,0.003,2048,512.0,0.12469932750898341,0.1328730942948926,0.008173766785909198,0.061515589964125504,0.5864946085782612,0.5504160467207906,0.036078561857470604,0.06151558996412551,0.5864946085782612,0.5504160467207906,0.036078561857470604,0.06151558996412551,0.0,1,False,1,3,88.1593891015884,ok,2.9260346279945226,2.9260346279945226,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.0037841678086344183
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,2,BIQAE,biqae,0.003,4096,2432.0,0.1354914550080265,0.1328730942948926,0.0026183607131338993,0.019705725429429877,0.5864946085782612,0.5980519103007453,0.011557301722484148,0.01970572542942985,0.5864946085782612,0.5980519103007453,0.011557301722484148,0.01970572542942985,0.0,7,False,7,15,88.1593891015884,ok,13.898664482973981,13.898664482973981,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.00038831561470007933
