T,nll,delta_nll
207.9849812265,11401.5919108565,2330.9705856405
209.2302878598,11380.4217782133,2309.8004529973
210.4755944931,11359.5007110636,2288.8793858475
211.7209011264,11338.8247745333,2268.2034493172
212.9662077597,11318.3901131117,2247.7687878957
214.2115143930,11298.1929487143,2227.5716234983
215.4568210263,11278.2295788008,2207.6082535847
216.7021276596,11258.4963745462,2187.8750493302
217.9474342929,11238.9897790641,2168.3684538481
219.1927409262,11219.7063056786,2149.0849804625
220.4380475594,11200.6425362459,2130.0212110298
221.6833541927,11181.7951195218,2111.1737943057
222.9286608260,11163.1607695749,2092.5394443588
224.1739674593,11144.7362642434,2074.1149390274
225.4192740926,11126.5184436350,2055.8971184190
226.6645807259,11108.5042086669,2037.8828834509
227.9098873592,11090.6905196471,2020.0691944311
229.1551939925,11073.0743948931,2002.4530696771
230.4005006258,11055.6529093890,1985.0315841730
231.6458072591,11038.4231934784,1967.8018682624
232.8911138924,11021.3824315926,1950.7611063766
234.1364205257,11004.5278610132,1933.9065357971
235.3817271589,10987.8567706674,1917.2354454514
236.6270337922,10971.3664999558,1900.7451747398
237.8723404255,10955.0544376108,1884.4331123948
239.1176470588,10938.9180205859,1868.2966953698
240.3629536921,10922.9547329733,1852.3334077572
241.6082603254,10907.1621049509,1836.5407797349
242.8535669587,10891.5377117565,1820.9163865405
244.0988735920,10876.0791726880,1805.4578474720
245.3441802253,10860.7841501308,1790.1628249148
246.5894868586,10845.6503486094,1775.0290233934
247.8347934919,10830.6755138639,1760.0541886478
249.0801001252,10815.8574319500,1745.2361067340
250.3254067584,10801.1939283622,1730.5726031462
251.5707133917,10786.6828671792,1716.0615419632
252.8160200250,10772.3221502310,1701.7008250150
254.0613266583,10758.1097162871,1687.4883910711
255.3066332916,10744.0435402654,1673.4222150493
256.5519399249,10730.1216324604,1659.5003072443
257.7972465582,10716.3420377915,1645.7207125754
259.0425531915,10702.7028350692,1632.0815098532
260.2878598248,10689.2021362803,1618.5808110643
261.5331664581,10675.8380858903,1605.2167606743
262.7784730914,10662.6088601630,1591.9875349470
264.0237797247,10649.5126664973,1578.8913412813
265.2690863579,10636.5477427796,1565.9264175636
266.5143929912,10623.7123567526,1553.0910315366
267.7596996245,10611.0048053991,1540.3834801831
269.0050062578,10598.4234143406,1527.8020891246
270.2503128911,10585.9665372511,1515.3452120350
271.4956195244,10573.6325552839,1503.0112300679
272.7409261577,10561.4198765134,1490.7985512974
273.9862327910,10549.3269353893,1478.7056101733
275.2315394243,10537.3521922040,1466.7308669880
276.4768460576,10525.4941325731,1454.8728073570
277.7221526909,10513.7512669275,1443.1299417114
278.9674593242,10502.1221300180,1431.5008048019
280.2127659574,10490.6052804312,1419.9839552151
281.4580725907,10479.1993001169,1408.5779749009
282.7033792240,10467.9027939267,1397.2814687106
283.9486858573,10456.7143891625,1386.0930639464
285.1939924906,10445.6327351366,1375.0114099205
286.4392991239,10434.6565027412,1364.0351775252
287.6846057572,10423.7843840281,1353.1630588121
288.9299123905,10413.0150917977,1342.3937665817
290.1752190238,10402.3473591977,1331.7260339817
291.4205256571,10391.7799393311,1321.1586141150
292.6658322904,10381.3116048724,1310.6902796564
293.9111389237,10370.9411476933,1300.3198224773
295.1564455569,10360.6673784964,1290.0460532804
296.4017521902,10350.4891264569,1279.8678012409
297.6470588235,10340.4052388729,1269.7839136569
298.8923654568,10330.4145808231,1259.7932556070
300.1376720901,10320.5160348319,1249.8947096159
301.3829787234,10310.7085005431,1240.0871753270
302.6282853567,10300.9908943987,1230.3695691827
303.8735919900,10291.3621493272,1220.7408241112
305.1188986233,10281.8212144366,1211.1998892206
306.3642052566,10272.3670547157,1201.7457294996
307.6095118899,10262.9986507408,1192.3773255248
308.8548185232,10253.7149983897,1183.0936731736
310.1001251564,10244.5151085608,1173.8937833448
311.3454317897,10235.3980068997,1164.7766816837
312.5907384230,10226.3627335300,1155.7414083140
313.8360450563,10217.4083427915,1146.7870175755
315.0813516896,10208.5339029827,1137.9125777667
316.3266583229,10199.7384961095,1129.1171708935
317.5719649562,10191.0212176391,1120.3998924231
318.8172715895,10182.3811762592,1111.7598510432
320.0625782228,10173.8174936417,1103.1961684257
321.3078848561,10165.3293042123,1094.7079789962
322.5531914894,10156.9157549240,1086.2944297080
323.7984981227,10148.5760050363,1077.9546798203
325.0438047559,10140.3092258980,1069.6879006819
326.2891113892,10132.1146007351,1061.4932755191
327.5344180225,10123.9913244432,1053.3699992272
328.7797246558,10115.9386033837,1045.3172781677
330.0250312891,10107.9556551845,1037.3343299685
331.2703379224,10100.0417085449,1029.4203833289
332.5156445557,10092.1960030441,1021.5746778280
333.7609511890,10084.4177889539,1013.7964637379
335.0062578223,10076.7063270553,1006.0850018392
336.2515644556,10069.0608884583,998.4395632423
337.4968710889,10061.4807544260,990.8594292100
338.7421777222,10053.9652162019,983.3438909858
339.9874843554,10046.5135748403,975.8922496242
341.2327909887,10039.1251410410,968.5038158249
342.4780976220,10031.7992349864,961.1779097704
343.7234042553,10024.5351861825,953.9138609664
344.9687108886,10017.3323333025,946.7110080864
346.2140175219,10010.1900240338,939.5686988178
347.4593241552,10003.1076149283,932.4862897122
348.7046307885,9996.0844712547,925.4631460387
349.9499374218,9989.1199668550,918.4986416389
351.1952440551,9982.2134840024,911.5921587864
352.4405506884,9975.3644132633,904.7430880473
353.6858573217,9968.5721533610,897.9508281450
354.9311639549,9961.8361110423,891.2147858263
356.1764705882,9955.1557009471,884.5343757310
357.4217772215,9948.5303454798,877.9090202637
358.6670838548,9941.9594746838,871.3381494677
359.9123904881,9935.4425261180,864.8212009019
361.1576971214,9928.9789447358,858.3576195198
362.4030037547,9922.5681827665,851.9468575505
363.6483103880,9916.2096995987,845.5883743826
364.8936170213,9909.9029616658,839.2816364498
366.1389236546,9903.6474423346,833.0261171186
367.3842302879,9897.4426217946,826.8212965786
368.6295369212,9891.2879869503,820.6666617343
369.8748435544,9885.1830313153,814.5617060993
371.1201501877,9879.1272549085,808.5059296925
372.3654568210,9873.1201641516,802.4988389356
373.6107634543,9867.1612717696,796.5399465536
374.8560700876,9861.2500966918,790.6287714758
376.1013767209,9855.3861639561,784.7648387401
377.3466833542,9849.5690046136,778.9476793976
378.5919899875,9843.7981556362,773.1768304201
379.8372966208,9838.0731598247,767.4518346087
381.0826032541,9832.3935657199,761.7722405039
382.3279098874,9826.7589275141,756.1376022981
383.5732165207,9821.1688049649,750.5474797489
384.8185231539,9815.6227633104,745.0014380943
386.0638297872,9810.1203731856,739.4990479695
387.3091364205,9804.6612105410,734.0398853250
388.5544430538,9799.2448565623,728.6235313463
389.7997496871,9793.8708975908,723.2495723748
391.0450563204,9788.5389250468,717.9175998308
392.2903629537,9783.2485353528,712.6272101368
393.5356695870,9777.9993298590,707.3780046430
394.7809762203,9772.7909147699,702.1695895538
396.0262828536,9767.6229010718,697.0015758558
397.2715894869,9762.4949044624,691.8735792463
398.5168961202,9757.4065452807,686.7852200647
399.7622027534,9752.3574484388,681.7361232228
401.0075093867,9747.3472433547,676.7259181386
402.2528160200,9742.3755638858,671.7542386698
403.4981226533,9737.4420482646,666.8207230485
404.7434292866,9732.5463390343,661.9250138183
405.9887359199,9727.6880829866,657.0667577706
407.2340425532,9722.8669310996,652.2456058836
408.4793491865,9718.0825384775,647.4612132615
409.7246558198,9713.3345642910,642.7132390750
410.9699624531,9708.6226717188,638.0013465027
412.2152690864,9703.9465278898,633.3252026738
413.4605757196,9699.3058038272,628.6844786111
414.7058823529,9694.7001743919,624.0788491759
415.9511889862,9690.1293182290,619.5079930130
417.1964956195,9685.5929177130,614.9715924970
418.4418022528,9681.0906588957,610.4693336796
419.6871088861,9676.6222314537,606.0009062377
420.9324155194,9672.1873286379,601.5660034219
422.1777221527,9667.7856472228,597.1643220067
423.4230287860,9663.4168874570,592.7955622410
424.6683354193,9659.0807530153,588.4594277993
425.9136420526,9654.7769509501,584.1556257341
427.1589486859,9650.5051916449,579.8838664289
428.4042553191,9646.2651887681,575.6438635520
429.6495619524,9642.0566592270,571.4353340110
430.8948685857,9637.8793231240,567.2579979079
432.1401752190,9633.7329037115,563.1115784955
433.3854818523,9629.6171273497,558.9958021337
434.6307884856,9625.5317234632,554.9103982472
