a_true,abs_error,algorithm,algorithm_key,budget,epsilon_target,estimate,normalized_abs_error,normalized_sq_error,objective_ry_offset,phase,query_budget_actual,repetition,run_kind,runtime_wall_seconds,step_index
0.6056665183230261,0.0015426746567142047,CABIQAE,cabiqae_latentt,2510,0.005,0.6072091929797403,0.002547069402128375,6.487562539258598e-06,0.56,1_iterative,2510.0,6010155,ideal_simulation_v2,0.29395761999876413,5000000
0.6056665183230261,0.0003439986378566129,CABIQAE,cabiqae_latentt,9740,0.001,0.6053225196851695,0.0005679670700785622,3.2258659269362634e-07,0.56,1_iterative,9740.0,2010158,ideal_simulation_v2,1.138376648999838,1000000
0.6056665183230261,0.01633008220807608,CABIQAE,cabiqae_latentt,210,0.05,0.6219966005311022,0.026962167651748244,0.0007269584844809794,0.56,1_iterative,210.0,51010161,ideal_simulation_v2,0.0459992060004879,50000000
0.6056665183230261,0.02247717325376164,CABIQAE,cabiqae_latentt,1130,0.01,0.5831893450692645,0.037111467406183526,0.0013772610130402222,0.56,1_iterative,1130.0,11010164,ideal_simulation_v2,0.13596895699993183,10000000
0.3602728053304129,4.380744996829167e-05,CABIQAE,cabiqae_latentt,104380,0.0001,0.3602289978804446,0.00012159521706922908,1.478539681411294e-08,0.3,1_iterative,104380.0,1210167,ideal_simulation_v2,10.608774281001388,100000
0.3602728053304129,0.0001242615672867875,CABIQAE,cabiqae_latentt,2290,0.005,0.3601485437631261,0.0003449096502657893,1.189626668464691e-07,0.3,1_iterative,2290.0,6110170,ideal_simulation_v2,0.26611956800115877,5000000
0.3602728053304129,0.0002896550455570024,CABIQAE,cabiqae_latentt,11660,0.001,0.3605624603759699,0.0008039880925549026,6.463968529700706e-07,0.3,1_iterative,11660.0,2110173,ideal_simulation_v2,1.3447017990001768,1000000
0.3602728053304129,0.06247183819731422,CABIQAE,cabiqae_latentt,190,0.05,0.29780096713309867,0.17340148152459117,0.030068073794923135,0.3,1_iterative,190.0,51110176,ideal_simulation_v2,0.053630316999260685,50000000
0.3602728053304129,0.00495484624979603,CABIQAE,cabiqae_latentt,1020,0.01,0.3652276515802089,0.013753039853374024,0.0001891461052084942,0.3,1_iterative,1020.0,11110179,ideal_simulation_v2,0.1485741100004816,10000000
0.6692728078979026,4.3892165793368854e-05,CABIQAE,cabiqae_latentt,94790,0.0001,0.6693167000636959,6.558187524640116e-05,4.300982360834525e-09,0.63,1_iterative,94790.0,1310182,ideal_simulation_v2,10.143566414999441,100000
0.6692728078979026,0.005865755599801625,CABIQAE,cabiqae_latentt,1510,0.005,0.6751385634977042,0.008764371614357364,7.68142097945531e-05,0.63,1_iterative,1510.0,6210185,ideal_simulation_v2,0.19549435099906987,5000000
0.6692728078979026,0.0003936855298974917,CABIQAE,cabiqae_latentt,9600,0.001,0.6688791223680051,0.0005882287839154947,3.4601310222670174e-07,0.63,1_iterative,9600.0,2210188,ideal_simulation_v2,1.013952789000541,1000000
0.6692728078979026,0.001062832984188855,CABIQAE,cabiqae_latentt,220,0.05,0.6682099749137137,0.0015880414856941118,2.5218757602855616e-06,0.63,1_iterative,220.0,51210191,ideal_simulation_v2,0.04105464100030076,50000000
0.6692728078979026,0.004518210293115943,CABIQAE,cabiqae_latentt,1010,0.01,0.6647545976047866,0.006750924645074173,4.557498356346985e-05,0.63,1_iterative,1010.0,11210194,ideal_simulation_v2,0.14291953400061175,10000000
