a_true,abs_error,algorithm,algorithm_key,amplification_factor,budget,estimate,grover_power,normalized_abs_error,query_budget_actual,repetition,replay_probability_extrapolated,replay_probability_source,run_kind,runtime_wall_seconds
0.3602728053304129,0.0020775422153817558,BAE,bae,1,512,0.36235034754579465,0,0.005766580726170556,256.0,58,True,measured,hardware_replay,0.12997197968007423
0.3602728053304129,0.0020775422153817558,BAE,bae,1,1024,0.36235034754579465,0,0.005766580726170556,256.0,58,True,measured,hardware_replay,0.12997197968007423
0.3602728053304129,0.0020775422153817558,BAE,bae,1,2048,0.36235034754579465,0,0.005766580726170556,256.0,58,True,measured,hardware_replay,0.12997197968007423
0.3602728053304129,0.009904569352802095,BAE,bae,13,4096,0.3503682359776108,6,0.027491859519395114,3584.0,58,True,measured,hardware_replay,1.8196077155210395
0.3602728053304129,0.005600397781623412,BAE,bae,17,8192,0.3546724075487895,8,0.01554488070918143,7936.0,58,True,measured,hardware_replay,4.029131370082301
0.3602728053304129,0.0007204282448500243,BAE,bae,33,16384,0.3609932335752629,16,0.001999674230724426,16384.0,58,True,measured,hardware_replay,8.318206699524751
0.3602728053304129,0.00025665237063760005,BAE,bae,33,32768,0.3600161529597753,16,0.0007123834129035062,24832.0,58,True,measured,hardware_replay,12.607282028967202
0.3602728053304129,0.0002747686503989377,BAE,bae,45,65536,0.36054757398081183,22,0.0007626683067209091,64768.0,58,True,measured,hardware_replay,32.88291085905878
0.3602728053304129,0.013726245257706549,CABIQAE,cabiqae_latentt,1,256,0.34654656007270634,0,0.03809958746433263,256.0,57,True,measured,hardware_replay,0.0065185100237441645
0.3602728053304129,0.013726245257706549,CABIQAE,cabiqae_latentt,1,512,0.34654656007270634,0,0.03809958746433263,256.0,57,True,measured,hardware_replay,0.0065185100237441645
0.3602728053304129,0.01332534497067045,CABIQAE,cabiqae_latentt,3,1024,0.34694746035974244,1,0.03698681880373826,1024.0,57,True,measured,hardware_replay,0.026074040094976658
0.3602728053304129,0.01332534497067045,CABIQAE,cabiqae_latentt,3,2048,0.34694746035974244,1,0.03698681880373826,1024.0,57,True,measured,hardware_replay,0.026074040094976658
0.3602728053304129,0.0028915733696450174,CABIQAE,cabiqae_latentt,11,4096,0.3631643787000579,5,0.008026066155598676,3840.0,57,True,measured,hardware_replay,0.09777765035616248
0.3602728053304129,0.0028915733696450174,CABIQAE,cabiqae_latentt,11,8192,0.3631643787000579,5,0.008026066155598676,3840.0,57,True,measured,hardware_replay,0.09777765035616248
0.3602728053304129,0.0017989165290749898,CABIQAE,cabiqae_latentt,23,16384,0.3584738888013379,11,0.004993206543650082,15616.0,57,True,measured,hardware_replay,0.397629111448394
0.3602728053304129,0.002140280153188401,CABIQAE,cabiqae_latentt,23,32768,0.3581325251772245,11,0.005940720813566569,27392.0,57,True,measured,hardware_replay,0.6974805725406256
0.3602728053304129,0.001983828709842539,CABIQAE,cabiqae_latentt,23,65536,0.35828897662057035,11,0.005506462548632092,62720.0,57,True,measured,hardware_replay,1.5970349558173202
0.3602728053304129,0.03236466899955781,BIQAE,biqae,1,256,0.3926374743299707,0,0.08983378295754399,256.0,57,True,measured,hardware_replay,0.006577403571489932
0.3602728053304129,0.03236466899955781,BIQAE,biqae,1,512,0.3926374743299707,0,0.08983378295754399,256.0,57,True,measured,hardware_replay,0.006577403571489932
0.3602728053304129,0.021356163669412842,BIQAE,biqae,3,1024,0.38162896899982574,1,0.059277756615092575,1024.0,57,True,measured,hardware_replay,0.026309614285959727
0.3602728053304129,0.021356163669412842,BIQAE,biqae,3,2048,0.38162896899982574,1,0.059277756615092575,1024.0,57,True,measured,hardware_replay,0.026309614285959727
0.3602728053304129,0.021356163669412842,BIQAE,biqae,3,4096,0.38162896899982574,1,0.059277756615092575,1024.0,57,True,measured,hardware_replay,0.026309614285959727
0.3602728053304129,0.014806924159289692,BIQAE,biqae,27,8192,0.3750797294897026,13,0.04109920021776272,7936.0,57,True,measured,hardware_replay,0.2038995107161879
0.3602728053304129,0.014806924159289692,BIQAE,biqae,27,16384,0.3750797294897026,13,0.04109920021776272,7936.0,57,True,measured,hardware_replay,0.2038995107161879
0.3602728053304129,0.014806924159289692,BIQAE,biqae,27,32768,0.3750797294897026,13,0.04109920021776272,7936.0,57,True,measured,hardware_replay,0.2038995107161879
0.3602728053304129,0.014806924159289692,BIQAE,biqae,27,65536,0.3750797294897026,13,0.04109920021776272,7936.0,57,True,measured,hardware_replay,0.2038995107161879
0.3602728053304129,0.02658549189302134,BAE,bae,1,256,0.38685829722343423,0,0.07379266905432758,256.0,57,True,measured,hardware_replay,0.12756854407599647
0.3602728053304129,0.02658549189302134,BAE,bae,1,512,0.38685829722343423,0,0.07379266905432758,256.0,57,True,measured,hardware_replay,0.12756854407599647
