profile,phase,repetition,scenario_id,algorithm,algorithm_key,epsilon_target,objective_ry_offset,a_true,final_estimate,abs_error,rel_error,num_queries,elapsed_runtime_seconds,confidence_interval,max_queries_bae_target,n_shots,bae_kind,noise_profile
realistic,iterative,4,1,CABIQAE_latentt,cabiqae_latentt,0.0075,0.1,0.1923435405926084,0.18977291290505283,0.00257062768755556,0.013364772633567437,5376,1.141198199999053,"(0.1822818858833313, 0.19726393992677432)",nan,,hardware,realistic
realistic,iterative,4,1,CABIQAE_latentt,cabiqae_latentt,0.01,0.1,0.1923435405926084,0.1918856607716776,0.00045787982093078994,0.002380531311423649,3968,0.8443666000093799,"(0.18256227376126466, 0.20120904778209053)",nan,,hardware,realistic
realistic,iterative,5,1,CABIQAE_latentt,cabiqae_latentt,0.0001,0.1,0.1923435405926084,0.18978314385865497,0.0025603967339534184,0.013311581590236217,372096,98.70460409999941,"(0.18968335691045324, 0.18988293080685667)",nan,,hardware,realistic
realistic,iterative,5,1,CABIQAE_latentt,cabiqae_latentt,0.001,0.1,0.1923435405926084,0.19204784753876036,0.0002956930538480229,0.0015373173070278097,102016,16.77843199999188,"(0.19106062073071273, 0.19303507434680803)",nan,,hardware,realistic
realistic,iterative,5,1,CABIQAE_latentt,cabiqae_latentt,0.0025,0.1,0.1923435405926084,0.19044781195057525,0.0018957286420331343,0.009855951679959798,28288,6.066913499991642,"(0.18795628169331327, 0.19293934220783723)",nan,,hardware,realistic
realistic,iterative,5,1,CABIQAE_latentt,cabiqae_latentt,0.005,0.1,0.1923435405926084,0.18869309002569584,0.003650450566912544,0.018978805088361923,10368,2.244548999995459,"(0.18370967398838728, 0.19367650606300438)",nan,,hardware,realistic
realistic,iterative,5,1,CABIQAE_latentt,cabiqae_latentt,0.0075,0.1,0.1923435405926084,0.1922725913613663,7.094923124209562e-05,0.00036886724151745257,7424,1.2883264999836683,"(0.18517265998814042, 0.19937252273459216)",nan,,hardware,realistic
realistic,iterative,5,1,CABIQAE_latentt,cabiqae_latentt,0.01,0.1,0.1923435405926084,0.18220824139122482,0.010135299201383563,0.05269373315140615,2816,0.6338536000112072,"(0.17227401268391201, 0.1921424700985376)",nan,,hardware,realistic
realistic,iterative,6,1,CABIQAE_latentt,cabiqae_latentt,0.0001,0.1,0.1923435405926084,0.18948561915525125,0.002857921437357136,0.01485842169979772,384128,94.95889599999646,"(0.1893858460943596, 0.18958539221614293)",nan,,hardware,realistic
realistic,iterative,6,1,CABIQAE_latentt,cabiqae_latentt,0.001,0.1,0.1923435405926084,0.1934706825630872,0.0011271419704788066,0.005860045869001342,99712,16.207655700010946,"(0.1924743597662367, 0.19446700535993766)",nan,,hardware,realistic
realistic,iterative,6,1,CABIQAE_latentt,cabiqae_latentt,0.0025,0.1,0.1923435405926084,0.1957785164855436,0.0034349758929352048,0.017858545612460294,37504,6.08116329999757,"(0.19330680996773905, 0.19825022300334813)",nan,,hardware,realistic
realistic,iterative,6,1,CABIQAE_latentt,cabiqae_latentt,0.005,0.1,0.1923435405926084,0.19176052794878987,0.0005830126438185201,0.0030311007170933033,13312,2.192054699989967,"(0.18680779692617613, 0.1967132589714036)",nan,,hardware,realistic
realistic,iterative,6,1,CABIQAE_latentt,cabiqae_latentt,0.0075,0.1,0.1923435405926084,0.18702712296934798,0.0053164176232604055,0.027640219197798792,6528,1.38368209998589,"(0.17990875923786614, 0.19414548670082984)",nan,,hardware,realistic
realistic,iterative,6,1,CABIQAE_latentt,cabiqae_latentt,0.01,0.1,0.1923435405926084,0.18832502176508592,0.004018518827522466,0.02089240332761606,4096,0.8651402999821585,"(0.1793247909601018, 0.19732525257007008)",nan,,hardware,realistic
realistic,iterative,7,1,CABIQAE_latentt,cabiqae_latentt,0.0001,0.1,0.1923435405926084,0.1903606368032827,0.0019829037893256962,0.010309177959480161,395776,99.76314260001527,"(0.19026063882121283, 0.19046063478535252)",nan,,hardware,realistic
realistic,iterative,7,1,CABIQAE_latentt,cabiqae_latentt,0.001,0.1,0.1923435405926084,0.18965075951972105,0.0026927810728873403,0.013999851851488804,75136,16.415567799995188,"(0.1886511173105827, 0.1906504017288594)",nan,,hardware,realistic
realistic,iterative,7,1,CABIQAE_latentt,cabiqae_latentt,0.0025,0.1,0.1923435405926084,0.19080207359699797,0.0015414669956104188,0.008014134453702866,22016,4.4924374999827705,"(0.18836260779174258, 0.1932415394022534)",nan,,hardware,realistic
