run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,step_index,budget,query_budget,query_budget_actual,estimate,a_true,abs_error,normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,grover_power,k_max_budget,amplification_factor,t_eff,calibration_status,runtime_wall_seconds,time_to_budget_seconds,circuit_prepare_wall_seconds,construct_circuit_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,n_shots,max_grover_power,transpile_backend_name,transpilation_strategy,aer_method,construct_circuit_mode,normalized_sq_error
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,8,CABIQAE,cabiqae_latentt,1,512,512.0,512.0,0.12000370634028137,0.1328730942948926,0.012869387954611233,0.09685473212544812,0.5864946085782612,0.5296898303713942,0.056804778206867024,0.0968547321254481,0.5864946085782612,0.5296898303713942,0.056804778206867024,0.0968547321254481,1,1,3,11.706917752656707,ok,1.355083454548466,1.355083454548466,7.499998901039362e-06,7.499998901039362e-06,3,0,7,128,4,local_aer,aer_preset,density_matrix,full,0.009380839135092313
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,8,CABIQAE,cabiqae_latentt,2,1408,1408.0,1408.0,0.11391300166750903,0.1328730942948926,0.018960092627383573,0.14269324220977642,0.5864946085782612,0.5028057913416754,0.08368881723658583,0.14269324220977642,0.5864946085782612,0.5028057913416754,0.08368881723658583,0.14269324220977642,3,3,7,11.706917752656707,ok,3.7264795000082813,3.7264795000082813,7.499998901039362e-06,7.499998901039362e-06,3,0,7,128,4,local_aer,aer_preset,density_matrix,full,0.02036136137233792
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,9,CABIQAE,cabiqae_latentt,0,128,128.0,128.0,0.15688204356633384,0.1328730942948926,0.024008949271441232,0.18069082682876975,0.5864946085782612,0.6924688043328828,0.10597419575462164,0.18069082682876966,0.5864946085782612,0.6924688043328828,0.10597419575462164,0.18069082682876966,0,0,1,11.706917752656707,ok,0.2963469857183684,0.2963469857183684,8.599890861660242e-06,8.599890861660242e-06,4,0,8,128,4,local_aer,aer_preset,density_matrix,full,0.03264917490006446
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,9,CABIQAE,cabiqae_latentt,1,512,512.0,512.0,0.15315866115353005,0.1328730942948926,0.020285566858637444,0.1526687322688261,0.5864946085782612,0.6760339969524056,0.08953938837414444,0.15266873226882596,0.5864946085782612,0.6760339969524056,0.08953938837414444,0.15266873226882596,1,1,3,11.706917752656707,ok,1.1853879428734737,1.1853879428734737,8.599890861660242e-06,8.599890861660242e-06,4,0,8,128,4,local_aer,aer_preset,density_matrix,full,0.023307741812570504
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,9,CABIQAE,cabiqae_latentt,2,896,896.0,896.0,0.14504595443095977,0.1328730942948926,0.012172860136067165,0.09161267900521126,0.5864946085782612,0.6402249508922284,0.05373034231396723,0.0916126790052112,0.5864946085782612,0.6402249508922284,0.05373034231396723,0.0916126790052112,1,1,3,11.706917752656707,ok,2.074428900028579,2.074428900028579,8.599890861660242e-06,8.599890861660242e-06,4,0,8,128,4,local_aer,aer_preset,density_matrix,full,0.008392882954511877
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,9,CABIQAE,cabiqae_latentt,3,1792,1792.0,1792.0,0.1265184184045496,0.1328730942948926,0.006354675890342998,0.04782515169128006,0.5864946085782612,0.5584454149568879,0.02804919362137326,0.04782515169128005,0.5864946085782612,0.5584454149568879,0.02804919362137326,0.04782515169128005,3,3,7,11.706917752656707,ok,4.148857800057158,4.148857800057158,8.599890861660242e-06,8.599890861660242e-06,4,0,8,128,4,local_aer,aer_preset,density_matrix,full,0.0022872451342939477
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,10,CABIQAE,cabiqae_latentt,0,128,128.0,128.0,0.14869092357818176,0.1328730942948926,0.015817829283289148,0.11904463704430458,0.5864946085782612,0.6563136463849017,0.06981903780664056,0.11904463704430454,0.5864946085782612,0.6563136463849017,0.06981903780664056,0.11904463704430454,0,0,1,11.706917752656707,ok,0.33230894546299666,0.33230894546299666,6.299931555986404e-06,6.299931555986404e-06,3,0,8,128,4,local_aer,aer_preset,density_matrix,full,0.014171625609010216
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,10,CABIQAE,cabiqae_latentt,1,512,512.0,512.0,0.12935383734095682,0.1328730942948926,0.00351925695393579,0.02648585082338271,0.5864946085782612,0.5709607998667391,0.015533808711522101,0.02648585082338278,0.5864946085782612,0.5709607998667391,0.015533808711522101,0.02648585082338278,1,1,3,11.706917752656707,ok,1.3292357818519867,1.3292357818519867,6.299931555986404e-06,6.299931555986404e-06,3,0,8,128,4,local_aer,aer_preset,density_matrix,full,0.0007015002938384826
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,10,CABIQAE,cabiqae_latentt,2,1408,1408.0,1408.0,0.10909342275389239,0.1328730942948926,0.02377967154100022,0.17896528764675773,0.5864946085782612,0.4815324322507801,0.10496217632748112,0.17896528764675776,0.5864946085782612,0.4815324322507801,0.10496217632748112,0.17896528764675776,3,3,7,11.706917752656707,ok,3.655398400092963,3.655398400092963,6.299931555986404e-06,6.299931555986404e-06,3,0,8,128,4,local_aer,aer_preset,density_matrix,full,0.03202857418248674
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,11,CABIQAE,cabiqae_latentt,0,128,128.0,128.0,0.16507131173316195,0.1328730942948926,0.03219821743826934,0.24232307984647405,0.5864946085782612,0.7286157884422977,0.1421211798640365,0.242323079846474,0.5864946085782612,0.7286157884422977,0.1421211798640365,0.242323079846474,0,0,1,11.706917752656707,ok,0.27955901333674166,0.27955901333674166,1.2299977242946625e-05,1.2299977242946625e-05,5,0,8,128,4,local_aer,aer_preset,density_matrix,full,0.05872047502628064
