profile,scenario_id,objective_ry_offset,a_true,t_eff,k,K,p_ideal,p_noisy,c_est
realistic,10,-0.0930565341314995,0.3610069733428044,38.64690240569617,8.0,17.0,0.9985392509796899,0.8153333333333334,0.6325145567047434
realistic,11,0.1572940057395037,0.39333941610677803,34.23077379575842,0.0,1.0,0.39333941610677803,0.3948333333333333,0.9859937272793214
realistic,11,0.1572940057395037,0.39333941610677803,34.23077379575842,1.0,3.0,0.8005669994214878,0.7775,0.9232550497363792
realistic,11,0.1572940057395037,0.39333941610677803,34.23077379575842,2.0,5.0,0.06023689712384074,0.11166666666666666,0.883051194594402
realistic,11,0.1572940057395037,0.39333941610677803,34.23077379575842,4.0,9.0,0.03275307158506136,0.137,0.7768911424017706
realistic,11,0.1572940057395037,0.39333941610677803,34.23077379575842,8.0,17.0,0.7453750311899323,0.6515,0.6174222343052156
realistic,12,0.2675799249605959,0.4098286123030351,43.42468131908261,0.0,1.0,0.4098286123030351,0.408,1.0
realistic,12,0.2675799249605959,0.4098286123030351,43.42468131908261,1.0,3.0,0.7587834005791938,0.7353333333333333,0.9093834179728068
realistic,12,0.2675799249605959,0.4098286123030351,43.42468131908261,2.0,5.0,0.10627077147481356,0.15483333333333332,0.876660003016735
realistic,12,0.2675799249605959,0.4098286123030351,43.42468131908261,4.0,9.0,0.0009366194750920552,0.11683333333333333,0.7677715529110897
realistic,12,0.2675799249605959,0.4098286123030351,43.42468131908261,8.0,17.0,0.4705675972509915,0.4805,0.6625351034467252
realistic,13,0.27640967042339404,0.4111989015778575,34.142785081111654,0.0,1.0,0.4111989015778575,0.418,0.9234120011690459
realistic,13,0.27640967042339404,0.4111989015778575,34.142785081111654,1.0,3.0,0.755199246355269,0.7368333333333333,0.9280330436541805
realistic,13,0.27640967042339404,0.4111989015778575,34.142785081111654,2.0,5.0,0.11060113578677061,0.16766666666666666,0.8534522410711303
realistic,13,0.27640967042339404,0.4111989015778575,34.142785081111654,4.0,9.0,0.0003266347019251198,0.1145,0.7715039999581207
realistic,13,0.27640967042339404,0.4111989015778575,34.142785081111654,8.0,17.0,0.44697326485090266,0.4686666666666667,0.5908968984274097
