a_sampling,a_sampling_repetition,a_true,abs_error,algorithm,algorithm_key,amplification_factor,budget,classical_samples,estimate,grover_power,k_max_budget,noise_bias,normalized_abs_error,normalized_sq_error,objective_ry_offset,query_budget,query_budget_actual,repetition,run_kind,runtime_wall_seconds,sample_model,sampling_grover_power,sampling_probability_se,sampling_probability_shots,sampling_probability_source,step_index,successes,time_to_budget_seconds
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.000322897794587107,Classical MC,classical_mc,1,4096,4096,0.360595703125,0,0,0.0057170837759145665,0.0008962591397676309,8.032804456170137e-07,0.3,4096.0,4096.0,4,hardware_classical_monte_carlo,1.7699989257380366e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,4,1477,1.7699989257380366e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.006060202482087107,Classical MC,classical_mc,1,8192,8192,0.3663330078125,0,0,0.0057170837759145665,0.016821148841720604,0.00028295104835531843,0.3,8192.0,8192.0,4,hardware_classical_monte_carlo,2.0899984519928694e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,5,3001,2.0899984519928694e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.004351218107087107,Classical MC,classical_mc,1,16384,16384,0.3646240234375,0,0,0.0057170837759145665,0.01207756467518142,0.0001458675684831901,0.3,16384.0,16384.0,4,hardware_classical_monte_carlo,2.400000812485814e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,6,5974,2.400000812485814e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.006151755216462107,Classical MC,classical_mc,1,32768,32768,0.366424560546875,0,0,0.0057170837759145665,0.017075269422070917,0.00029156482583631005,0.3,32768.0,32768.0,4,hardware_classical_monte_carlo,2.710000262595713e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,7,12007,2.710000262595713e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.008425314786774607,Classical MC,classical_mc,1,65536,65536,0.3686981201171875,0,0,0.0057170837759145665,0.023385930500770365,0.0005469017453868616,0.3,65536.0,65536.0,4,hardware_classical_monte_carlo,2.9999995604157448e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,8,24163,2.9999995604157448e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.000897805330412893,Classical MC,classical_mc,1,256,256,0.359375,0,0,0.0057170837759145665,0.002492015264903214,6.210140080510637e-06,0.3,256.0,256.0,5,hardware_classical_monte_carlo,3.0999945010989904e-06,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,0,92,3.0999945010989904e-06
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.008867819669587107,Classical MC,classical_mc,1,512,512,0.369140625,0,0,0.0057170837759145665,0.024614179972463547,0.0006058578557168255,0.3,512.0,512.0,5,hardware_classical_monte_carlo,7.199996616691351e-06,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,1,189,7.199996616691351e-06
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.007891257169587107,Classical MC,classical_mc,1,1024,1024,0.3681640625,0,0,0.0057170837759145665,0.02190356044872687,0.0004797659603310321,0.3,1024.0,1024.0,5,hardware_classical_monte_carlo,1.0799994925037026e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,2,377,1.0799994925037026e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.007402975919587107,Classical MC,classical_mc,1,2048,2048,0.36767578125,0,0,0.0057170837759145665,0.020548250686858532,0.00042223060628998214,0.3,2048.0,2048.0,5,hardware_classical_monte_carlo,1.3999990187585354e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,3,753,1.3999990187585354e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.010088522794587107,Classical MC,classical_mc,1,4096,4096,0.370361328125,0,0,0.0057170837759145665,0.028002454377134393,0.0007841374511434931,0.3,4096.0,4096.0,5,hardware_classical_monte_carlo,1.6999983927235007e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,4,1517,1.6999983927235007e-05
